"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AHR",153.684744490322,2.71696479602177,0.10944548674238,24.824822629892,4.83756645889954e-136,1.7834811969481e-134
"AKAP11",65.9452583389793,2.99906211157443,0.0755589814480722,39.6916693965168,0,0
"AKAP6",17.417791672432,2.27072380865264,0.151786677274093,14.9599678274281,1.34090848842828e-50,1.48929177415739e-49
"AKAP9",177.068776848342,2.94061624395827,0.0809937003652773,36.3067279392872,1.26707151609507e-288,1.81070553323872e-286
"ALAS2",2.26094923750782,3.84513811166342,0.73029140715879,5.26521067339816,1.4002868608953e-07,2.98074965920472e-07
"ALG10",4.25980245223687,3.10516830763757,0.19958287665336,15.5582901685033,1.39783439850372e-54,1.67127531072098e-53
"ALG10B",9.88883046373724,2.31835928199036,0.128462123281361,18.0470260242596,8.32545950620936e-73,1.35833097057224e-71
"ALG11",10.3157912450016,2.7031540876599,0.122883676791194,21.9976660712483,3.03182564681637e-107,8.10918784857035e-106
"ALMS1",63.291010505255,3.37127040528129,0.0688520476654078,48.9639817491595,0,0
"ANK3",62.1247633134402,2.793361399992,0.16098251298645,17.351955489893,1.90642713698375e-67,2.86345737642053e-66
"ANKAR",6.59821247641366,3.00311524560742,0.161419226031748,18.6044458236763,2.95733782388083e-77,5.16587357943327e-76
"ANKRD12",87.4842502338252,2.89606156997848,0.0657015795415028,44.0790250430596,0,0
"ANKRD17",111.519915803121,2.11809331645311,0.0646917778423582,32.7413063467588,4.03726186809275e-235,3.93370872277479e-233
"ANKRD18A",2.39920775914923,2.99028096373806,0.2808727024581,10.646392253744,1.81254153993072e-26,1.05784464436641e-25
"ANKRD20A1",1.70695384204666,3.30790371196762,0.390567502666185,8.46948015230766,2.46490611117899e-17,9.5892963957067e-17
"ANKRD20A2",1.51352711392226,3.39833659641389,0.438044861361332,7.75796475697197,8.63031249575349e-15,2.89122212544722e-14
"ANKRD26",17.2273378213055,3.08371637029757,0.110481133502486,27.9117010528154,1.9239997552247e-171,1.11465700104813e-169
"ANKRD36",47.4705428272233,3.65604030657055,0.0890654037758654,41.0489387750494,0,0
"ANKRD36B",27.5088405502749,2.36104337856238,0.100136043616783,23.5783569360699,6.42757436675262e-123,2.01769358521178e-121
"ANKRD36C",32.0774915110958,5.6607558644612,0.149524160749,37.858469401234,0,0
"ANKRD44",39.2948122970453,2.83391990524573,0.121585859645527,23.3079727651535,3.68030186097406e-120,1.12014055626604e-118
"ANKRD50",49.3163529700115,2.82908191978915,0.104968439464816,26.9517383912087,5.44284890561518e-160,2.72233159429186e-158
"ANKS1B",2.6754045912951,2.95711963667067,0.248791953577887,11.8859134877323,1.40095009095411e-32,9.9910913092996e-32
"ANO3",1.63975693240198,2.19268583253125,0.406387908720615,5.39554889670371,6.83143847371067e-08,1.49077565878459e-07
"ANP32B",93.9187657352994,-2.07842732891463,0.112948504961804,-18.4015479409621,1.27665174280753e-75,2.18428271389134e-74
"APC",55.3380700456122,2.74802736825438,0.0699262088802633,39.2989611800621,0,0
"APLF",6.91284117844507,2.59966343413284,0.147033018792065,17.6808138436531,5.89392587020248e-70,9.15204175479039e-69
"ARAP2",54.5815616808518,2.86907950797298,0.135507266055599,21.1728831337782,1.69842797254351e-99,4.07107216102481e-98
"ARFGEF1",85.0901601823092,2.20078563570462,0.0508979734036479,43.2391603935038,0,0
"ARFGEF2",64.0691776963154,2.39433304868892,0.0629341610495964,38.0450459457467,0,0
"ARFGEF3",63.7423684123601,2.73222416904882,0.190474121579638,14.3443326914437,1.15606900469218e-46,1.1800554704358e-45
"ARHGAP33",14.8930797883089,-2.38995924012909,0.204517734710797,-11.6858288280411,1.50603222424979e-31,1.04427049560389e-30
"ARHGAP42",18.4301387057972,2.47610752668246,0.105865365808148,23.3892123999244,5.50293704635076e-121,1.69551479220725e-119
"ARHGAP5",86.3925913495427,3.46802994021418,0.0825303010512441,42.0212927378132,0,0
"ARHGEF12",242.224120939288,2.23949082164284,0.0796923338199574,28.1017095910673,9.33603023924655e-174,5.5590132436466e-172
"ARHGEF38",15.5564950137826,2.73693146530673,0.205706199420568,13.3050509562478,2.16345581551807e-40,1.89618309064537e-39
"ARID1B",106.110210097663,2.05608470869957,0.0630869222134752,32.5912984269884,5.44764911188303e-233,5.20649521807675e-231
"ARID2",45.436032432828,2.77238727094165,0.064339098247631,43.0902413377193,0,0
"ARID4A",36.6409128003221,2.0128606773581,0.0992911606190795,20.272304853805,2.25828515360042e-91,4.85466600713098e-90
"ARID4B",58.0201523026776,2.10556617451638,0.0700853663835419,30.0428788941999,2.70483357981968e-198,1.97019552743662e-196
"ARL5A",35.469923255856,2.26765672321426,0.0849682875690336,26.6882714491789,6.43999972547969e-157,3.1171676090588e-155
"ARL5B",32.3038981317753,2.24335894853961,0.141557557091681,15.847680580463,1.45865968207678e-56,1.8118533550962e-55
"ARMC12",1.22302429097686,-2.20212825404835,0.545630243778201,-4.03593510286339,5.43852488585395e-05,9.52551253790574e-05
"ASCC3",62.1117283887213,2.65312001175049,0.100922721180237,26.2886293663475,2.58712575348572e-152,1.17993379729645e-150
"ASH1L",129.433252714543,2.69339741315941,0.0615870151204793,43.7332026546581,0,0
"ASIC3",3.68649622298643,-2.44470575477425,0.40078655876952,-6.09976981832899,1.06221315769722e-09,2.61845053905812e-09
"ASPM",5.42742558345715,2.86620093396363,0.22933195669717,12.4980442117294,7.65104799897076e-36,5.96694257923889e-35
"ASXL3",3.81208731969363,2.14476149795982,0.216541402060494,9.90462552450199,3.97456213896834e-23,2.06146923246526e-22
"ATAD2B",34.8201918262565,3.08496838940162,0.0763716885762875,40.3941361898795,0,0
"ATAD5",4.76707075085051,2.39261938226696,0.17464086157676,13.7002266288943,1.01207911399115e-42,9.43831392506973e-42
